imgid, x_gt, y_gt, z_gt, omega_gt, phi_gt, kappa_gt, x_gps, y_gps, z_gps, 
1,465666.057548,5247973.646622,469.019496,95.538828,-73.283629,9.170787,465670.706847,5247978.033438,464.910004, 
31,465665.957153,5247973.611734,469.709290,96.242463,-74.376423,10.138757,465671.064464,5247977.231159,466.324005, 
61,465665.909026,5247973.676972,469.997052,98.277619,-77.413693,12.546079,465671.570117,5247977.217092,467.265015, 
91,465665.829212,5247973.715876,470.127735,98.665721,-76.989201,13.114321,465671.879377,5247977.181944,467.740997, 
121,465665.782634,5247973.631864,470.199503,98.874849,-77.131451,13.434804,465672.410589,5247977.667845,467.507996, 
151,465665.595499,5247973.569697,470.621347,99.324791,-77.081751,14.166707,465672.419495,5247977.901182,467.237000, 
181,465665.469848,5247973.536518,470.943083,99.597429,-77.343329,14.620209,465672.156294,5247978.069425,466.829987, 
211,465665.496991,5247973.448533,471.014317,100.267149,-77.427259,15.342182,465671.802713,5247978.271538,466.662994, 
241,465665.472788,5247973.300544,471.102999,98.379955,-75.365657,13.571125,465671.902457,5247978.548799,466.742004, 
271,465665.414829,5247973.240896,471.297857,97.179365,-73.866379,12.612320,465671.955812,5247978.637396,466.695007, 
301,465665.377550,5247973.395270,471.474089,98.084197,-74.783582,13.636537,465671.714017,5247978.594355,466.789001, 
331,465665.407641,5247973.568785,471.593648,97.892453,-74.994292,13.426020,465671.417897,5247978.296013,466.885986, 
361,465665.357830,5247973.663380,471.575413,97.651246,-74.451132,13.210387,465671.606794,5247978.328252,466.546997, 
391,465665.311139,5247973.731190,471.555241,97.330447,-73.373579,13.021725,465671.327460,5247978.318770,466.687988, 
421,465665.225663,5247973.793967,471.530586,97.168287,-73.579099,12.903384,465670.767044,5247977.999745,466.450989, 
451,465665.297074,5247973.887483,471.546673,96.565707,-73.238145,12.393560,465670.615496,5247977.900607,466.352997, 
481,465665.390125,5247974.013123,471.570619,40.882771,-68.737743,-41.007435,465670.078688,5247977.748150,466.148987, 
511,465665.306850,5247974.177369,471.553097,39.778412,-69.234841,-42.764391,465670.041468,5247977.837277,466.156006, 
541,465665.251687,5247974.188836,471.566827,38.578682,-69.783155,-44.653896,465669.451764,5247977.674017,466.412994, 
571,465665.088825,5247974.031113,471.562490,36.420793,-68.482806,-47.129714,465668.523709,5247977.735007,466.161011, 
601,465664.674506,5247973.960194,471.525364,40.574160,-67.296023,-43.239285,465668.011099,5247977.849139,466.002014, 
631,465664.263487,5247973.865909,471.479137,56.584683,-72.687209,-28.812339,465667.429784,5247977.830308,466.128998, 
661,465663.931917,5247973.628292,471.491279,88.270129,-73.920107,1.617800,465667.143493,5247977.920891,466.244995, 
691,465663.686244,5247973.384568,471.659159,88.042120,-72.279595,1.611784,465667.045815,5247977.999257,466.475006, 
721,465663.638741,5247973.355554,471.710632,87.891869,-74.063779,1.755269,465666.826938,5247978.000536,466.787018, 
751,465663.579073,5247973.449049,471.706630,87.518196,-76.204692,1.599452,465666.712094,5247977.723365,467.161011, 
781,465663.523569,5247973.463732,471.698719,87.540244,-74.720079,1.743323,465666.211263,5247977.270627,467.600006, 
811,465663.486933,5247973.437490,471.684765,87.737717,-75.794025,2.163333,465665.386930,5247976.997600,468.010010, 
841,465663.353509,5247973.392721,471.908201,88.165944,-76.731999,2.715809,465664.517632,5247976.780404,468.247986, 
871,465663.196314,5247973.303684,472.073158,87.669456,-75.883832,2.227731,465663.781658,5247976.128994,468.484009, 
901,465663.062035,5247973.146146,472.228222,86.507903,-75.690872,1.226884,465663.848222,5247975.895217,468.433014, 
931,465662.969994,5247972.971300,472.384702,86.702810,-76.349999,1.483099,465663.804884,5247976.228882,468.045013, 
961,465662.881827,5247972.857760,472.325269,86.260141,-75.523015,0.989467,465663.819655,5247976.173227,468.316010, 
991,465662.924803,5247972.880759,472.206854,86.135798,-76.048147,1.156617,465663.957025,5247975.138846,469.927002, 
1021,465663.126758,5247973.047680,472.224943,86.167583,-75.938341,1.289460,465664.163236,5247974.259657,471.277008, 
1051,465663.328791,5247973.108067,472.348004,85.817250,-76.638585,0.874743,465663.789625,5247973.617243,472.237000, 
1081,465663.615615,5247973.074926,472.493132,85.685287,-76.799745,0.768749,465663.445821,5247972.907972,473.158997, 
1111,465663.848065,5247972.959125,472.653144,86.476491,-76.181726,1.630712,465663.157507,5247972.654042,473.653992, 
1141,465664.030846,5247972.868878,472.678681,86.856083,-78.729720,2.274352,465662.978038,5247972.944048,473.015015, 
1171,465664.077483,5247972.704337,472.645234,87.863625,-78.920472,3.374255,465662.750030,5247973.967843,471.036987, 
1201,465664.032770,5247972.414784,472.612101,88.316399,-77.465754,3.758786,465662.470291,5247975.180875,469.135986, 
1231,465664.081083,5247971.959472,472.593945,87.842533,-75.054715,3.190678,465663.274648,5247975.909682,468.326996, 
1261,465664.128353,5247971.418148,472.573467,87.502325,-74.926726,2.902706,465663.811653,5247976.095478,468.042999, 
1291,465664.198722,5247970.947010,472.454012,87.329708,-74.586864,2.722819,465664.264267,5247976.048377,468.089996, 
1321,465664.301125,5247970.528781,472.278771,87.190661,-73.706480,2.555041,465664.296809,5247975.159089,469.333008, 
1351,465664.477817,5247970.103249,472.205338,86.871178,-73.731191,2.185556,465664.247232,5247974.425871,470.377991, 
1381,465664.864231,5247969.533564,472.301074,86.739786,-73.214908,1.978706,465664.322718,5247974.425430,470.290009, 
1411,465665.369986,5247968.719927,472.479570,86.282552,-74.487038,1.342370,465664.131942,5247974.070906,470.312988, 
1441,465665.661658,5247967.802949,472.485455,85.929673,-74.369513,0.960758,465663.873819,5247973.816798,469.729004, 
1471,465665.829723,5247966.956482,472.504998,85.407680,-76.099169,0.559909,465663.764515,5247973.195067,469.687988, 
1501,465666.003867,5247966.198347,472.514936,84.954627,-76.019668,0.031784,465663.541860,5247972.551771,469.528015, 
1531,465666.086188,5247965.523712,472.500656,84.920533,-75.998656,0.011581,465663.290049,5247972.086466,469.376984, 
1561,465666.261249,5247964.914525,472.432667,84.612608,-75.068855,-0.375404,465663.676815,5247972.395391,468.816010, 
1591,465666.457996,5247964.287986,472.418700,83.934208,-75.700529,-1.129193,465664.350082,5247971.357880,469.626007, 
1621,465666.627835,5247963.615650,472.356626,83.679666,-77.040562,-1.377490,465664.886707,5247970.187801,470.441986, 
1651,465666.685631,5247962.953734,472.323700,83.385038,-75.700049,-1.823722,465664.843322,5247969.221160,470.519989, 
1681,465666.743260,5247962.338998,472.298479,83.279049,-74.681402,-1.936468,465665.155389,5247968.374693,470.686005, 
1711,465666.831446,5247961.654929,472.267263,83.385416,-75.054601,-1.917017,465665.453607,5247967.739467,470.553986, 
1741,465666.987233,5247960.856909,472.256034,83.459822,-74.329040,-1.853331,465664.987545,5247966.775295,470.941986, 
1771,465667.155511,5247960.043497,472.282232,83.193186,-73.833814,-2.083948,465665.013767,5247966.097203,470.734009, 
1801,465667.426796,5247959.282904,472.332319,82.716546,-74.373374,-2.605149,465664.539504,5247965.021942,471.412994, 
1831,465667.715606,5247958.497246,472.381611,82.521528,-74.688558,-2.928326,465664.587798,5247964.243698,471.636993, 
1861,465667.993340,5247957.718506,472.394831,82.957751,-73.919148,-2.522105,465663.887803,5247963.292006,472.071014, 
1891,465668.184598,5247956.992811,472.418322,82.985540,-73.939960,-2.513732,465663.324132,5247962.417316,472.239014, 
1921,465668.274677,5247956.293537,472.374027,82.890836,-74.959083,-2.654963,465663.206369,5247961.640042,472.272003, 
1951,465668.287881,5247955.512363,472.393836,82.755987,-74.664113,-2.893458,465663.126018,5247960.806981,472.376007, 
1981,465668.240305,5247954.639218,472.375383,82.824854,-73.819862,-3.011823,465663.181398,5247959.950900,472.420990, 
2011,465668.134550,5247953.829572,472.308824,83.110508,-73.846015,-2.738531,465663.312984,5247959.216625,472.313995, 
2041,465668.133627,5247953.178164,472.285065,82.334273,-73.765254,-3.543203,465663.323333,5247958.405262,472.528992, 
2071,465668.291630,5247952.585157,472.285649,82.486988,-73.012751,-3.377432,465663.991386,5247957.767875,472.295013, 
2101,465668.457255,5247951.975588,472.267146,82.500464,-73.054404,-3.511110,465664.356888,5247957.021119,472.049988, 
2131,465668.526180,5247951.358508,472.331323,82.309592,-73.369414,-3.710803,465664.934900,5247956.473169,471.820007, 
2161,465668.687053,5247950.731803,472.411305,82.870221,-70.824065,-3.206065,465665.149690,5247955.771748,471.682983, 
2191,465668.922166,5247950.242739,472.422071,82.940914,-71.345597,-2.852173,465665.764977,5247955.145784,471.334991, 
2221,465669.124911,5247949.854076,472.360450,82.782761,-72.790122,-2.911174,465666.085772,5247954.499313,471.329987, 
2251,465669.215315,5247949.481769,472.228642,82.779297,-73.737301,-2.919982,465665.869301,5247953.622593,471.652985, 
2281,465669.269402,5247949.041253,472.095281,82.621566,-73.510936,-3.256514,465666.341572,5247953.064146,471.572998, 
