Timpstemp, imgid, svid_1, svid_2, svid_3,,,,,,,,,,,,,
7009129,1,1,2,3,,,,,,,,,,,,, 
7042462,2,1,2,3,,,,,,,,,,,,, 
7075795,3,1,2,3,,,,,,,,,,,,, 
7109128,4,1,2,3,,,,,,,,,,,,, 
7142461,5,1,2,3,,,,,,,,,,,,, 
7175794,6,1,2,3,,,,,,,,,,,,, 
7206967,7,1,2,3,,,,,,,,,,,,, 
7240300,8,1,2,3,,,,,,,,,,,,, 
7273633,9,1,2,3,,,,,,,,,,,,, 
7306966,10,1,2,3,,,,,,,,,,,,, 
7340299,11,1,2,3,,,,,,,,,,,,, 
7373632,12,1,2,3,,,,,,,,,,,,, 
7402809,13,1,2,3,,,,,,,,,,,,, 
7436142,14,1,2,3,,,,,,,,,,,,, 
7469475,15,1,2,3,,,,,,,,,,,,, 
7502808,16,1,2,3,,,,,,,,,,,,, 
7536141,17,1,2,3,,,,,,,,,,,,, 
7569474,18,1,2,3,,,,,,,,,,,,, 
7599573,19,1,2,3,,,,,,,,,,,,, 
7632906,20,1,2,3,,,,,,,,,,,,, 
7666239,21,1,2,3,,,,,,,,,,,,, 
7699572,22,1,2,3,,,,,,,,,,,,, 
7732905,23,1,2,3,,,,,,,,,,,,, 
7766238,24,1,2,3,,,,,,,,,,,,, 
7798438,25,1,2,3,,,,,,,,,,,,, 
7831771,26,1,2,3,,,,,,,,,,,,, 
7865104,27,1,2,3,,,,,,,,,,,,, 
7898437,28,1,2,3,,,,,,,,,,,,, 
7931770,29,1,2,3,,,,,,,,,,,,, 
7965103,30,1,2,3,,,,,,,,,,,,, 
7988182,31,1,2,3,,,,,,,,,,,,, 
8021515,32,1,2,3,,,,,,,,,,,,, 
8054848,33,1,2,3,,,,,,,,,,,,, 
8088181,34,1,2,3,,,,,,,,,,,,, 
8121514,35,1,2,3,,,,,,,,,,,,, 
8154847,36,1,2,3,,,,,,,,,,,,, 
8197070,37,1,2,3,,,,,,,,,,,,, 
8230403,38,1,2,3,,,,,,,,,,,,, 
8263736,39,1,2,3,,,,,,,,,,,,, 
8297069,40,1,2,3,,,,,,,,,,,,, 
8330402,41,1,2,3,,,,,,,,,,,,, 
8363735,42,1,2,3,,,,,,,,,,,,, 
8395950,43,1,2,3,,,,,,,,,,,,, 
8429283,44,1,2,3,,,,,,,,,,,,, 
8462616,45,1,2,3,,,,,,,,,,,,, 
8495949,46,1,2,3,,,,,,,,,,,,, 
8529282,47,1,2,3,,,,,,,,,,,,, 
8562615,48,1,2,3,,,,,,,,,,,,, 
8598784,49,1,2,3,,,,,,,,,,,,, 
8632117,50,1,2,3,,,,,,,,,,,,, 
8665450,51,1,2,3,,,,,,,,,,,,, 
8698783,52,1,2,3,,,,,,,,,,,,, 
8732116,53,1,2,3,,,,,,,,,,,,, 
8765449,54,1,2,3,,,,,,,,,,,,, 
8802486,55,1,2,3,,,,,,,,,,,,, 
8835819,56,1,2,3,,,,,,,,,,,,, 
8869152,57,1,2,3,,,,,,,,,,,,, 
8902485,58,1,2,3,,,,,,,,,,,,, 
8935818,59,1,2,3,,,,,,,,,,,,, 
8969151,60,1,2,3,,,,,,,,,,,,, 
9002265,61,1,2,3,,,,,,,,,,,,, 
9035598,62,1,2,3,,,,,,,,,,,,, 
9068931,63,1,2,3,,,,,,,,,,,,, 
9102264,64,1,2,3,,,,,,,,,,,,, 
9135597,65,1,2,3,,,,,,,,,,,,, 
9168930,66,1,2,3,,,,,,,,,,,,, 
9199111,67,1,2,3,,,,,,,,,,,,, 
9232444,68,1,2,3,,,,,,,,,,,,, 
9265777,69,1,2,3,,,,,,,,,,,,, 
9299110,70,1,2,3,,,,,,,,,,,,, 
9332443,71,1,2,3,,,,,,,,,,,,, 
9365776,72,1,2,3,,,,,,,,,,,,, 
9400044,73,1,2,3,,,,,,,,,,,,, 
9433377,74,1,2,3,,,,,,,,,,,,, 
9466710,75,1,2,3,,,,,,,,,,,,, 
9500043,76,1,2,3,,,,,,,,,,,,, 
9533376,77,1,2,3,,,,,,,,,,,,, 
9566709,78,1,2,3,,,,,,,,,,,,, 
9599660,79,1,2,3,,,,,,,,,,,,, 
9632993,80,1,2,3,,,,,,,,,,,,, 
9666326,81,1,2,3,,,,,,,,,,,,, 
9699659,82,1,2,3,,,,,,,,,,,,, 
9732992,83,1,2,3,,,,,,,,,,,,, 
9766325,84,1,2,3,,,,,,,,,,,,, 
9801471,85,1,2,3,,,,,,,,,,,,, 
9834804,86,1,2,3,,,,,,,,,,,,, 
9868137,87,1,2,3,,,,,,,,,,,,, 
9901470,88,1,2,3,,,,,,,,,,,,, 
9934803,89,1,2,3,,,,,,,,,,,,, 
9968136,90,1,2,3,,,,,,,,,,,,, 
9998204,91,1,2,3,,,,,,,,,,,,, 
10031537,92,1,2,3,,,,,,,,,,,,, 
10064870,93,1,2,3,,,,,,,,,,,,, 
10098203,94,1,2,3,,,,,,,,,,,,, 
10131536,95,1,2,3,,,,,,,,,,,,, 
10164869,96,1,2,3,,,,,,,,,,,,, 
10201081,97,1,2,3,,,,,,,,,,,,, 
