lat, lon, yaw_degree, tilt_yaw_degree, tilt_pitch degree, auxiliary variable
47.384345, 8.545037, 161.01, -94.94, 1.97, 1
47.384253, 8.545067, 166.35, -87.1, 4.02, 1
47.384161, 8.545098, 177.05, -80.55, 2.87, 1
47.384001, 8.545150, 163.72, 42.64, 1.55, 1
47.383852, 8.545199, 174.05, -63.87, 1.37, 1
47.383689, 8.545253, 163.95, 54.7, 2, 1
47.383591, 8.545285, 162.15, 80.32, 4.37, 1
47.383467, 8.545314, 168.75, 49.7, 3.17, 1
47.383578, 8.545497, 52.62, 67.88, 7.34, 1
47.383664, 8.545714, 58.24, 70.7, 7.03, 1
47.383742, 8.545911, 50.24, 53.23, 7.73, 1
47.383794, 8.546040, 71.08, 58.43, 8.77, 1
47.383836, 8.546147, 334.25, 50.48, 1.73, 1
47.383996, 8.546053, 342.63, 50.86, 1.95, 1
47.384127, 8.545977, 342.71, -94.25, 2.24, 1
47.384278, 8.545889, 334.01, -98.9, 2.32, 1
47.384427, 8.545802, 333.99, 45.74, 1.96, 1
47.384561, 8.545724, 342.58, -38.02, 1.09, 1
47.384706, 8.545668, 350.21, 24.15, 3.67, 1
47.384797, 8.545713, 34.52, 56.31, 4.92, 1
47.384892, 8.545887, 60.26, 58.69, 3.7, 1
47.384960, 8.546093, 78.8, 73.29, 4.11, 1
47.384922, 8.546267, 139.52, 137.1, 3.72, 1
47.384828, 8.546341, 149.88, 139.42, 3.5, 1
47.384777, 8.546451, 95.73, -115.64, 1.08, 1
47.384851, 8.546612, 46.77, -165.89, 2.56, 1
47.384951, 8.546788, 53.87, -167.9, 2.57, 1
47.385059, 8.546984, 55.58, -167.19, 2.32, 1
47.385116, 8.547087, 55.78, -111.35, 2.07, 1
47.385224, 8.547282, 55.25, 166.11, 2.69, 1
47.385375, 8.547270, 139.71, 130.75, 4.17, -1
47.385494, 8.547117, 142.05, 109.15, 4.84, -1
47.385623, 8.546961, 138.25, 126.02, 4.48, -1
47.385743, 8.546805, 141.17, 86.52, 6, -1
47.385863, 8.546647, 142.84, 108.58, 3.88, -1
47.385925, 8.546567, 321.42, 124.44, 4.84, 1
47.386120, 8.546312, 224, -91.81, 2.32, 0
47.386099, 8.546049, 81.48, 83.77, 4.39, -1
47.386068, 8.545815, 66.49, 82.67, 4.87, -1
47.386157, 8.545518, 325.53, -68.41, 4.05, 1
47.386297, 8.545395, 326.42, -53.38, 3.87, 1
47.386379, 8.545322, 327.01, -45.26, 3.11, 1
47.386461, 8.545250, 327.14, -28.24, 2.98, 1
47.386541, 8.545180, 328.7, -30.6, 2.86, 1
47.386619, 8.545111, 331.29, -14.63, 2.79, 1
47.386770, 8.544978, 328.86, -47.35, 2.95, 1
47.386688, 8.544742, 240.91, 137.67, 2.97, 1
47.386616, 8.544537, 242.2, 45.21, 0.73, 1
47.386550, 8.544346, 233.66, 122.63, 2.64, 1
47.386487, 8.544167, 237, 139.73, 2.89, 1
47.386424, 8.543983, 290.81, 157.68, 1.96, 1
47.386572, 8.543877, 336.59, -133.84, 4.47, 1
47.386721, 8.543760, 333.35, -139.39, 3.45, 1
47.386852, 8.543658, 332.01, -154.17, 3.34, 1
47.386977, 8.543561, 332.92, -156.29, 3.1, 1
47.387134, 8.543438, 333.92, -143.56, 2.93, 1
47.387229, 8.543363, 333.46, -162.21, 3.37, 1
47.387361, 8.543260, 286.15, 52.65, 5.94, 1
47.387269, 8.543075, 232.04, 32.97, 6.85, 1
47.387187, 8.542909, 232.52, 36.71, 6.88, 1
47.387131, 8.542796, 233.19, 42.88, 6.57, 1
47.387000, 8.542589, 337.13, 88.3, 5.47, -1
47.386938, 8.542639, 336.61, -12.47, 1.92, -1, 
